"Neighbourhood","Neighbourhood Id","Combined Indicators","Social Assistance Recipients","Local Employment","Businesses","Debt Risk Score","Home Prices","Child Care Spaces","Building Permits","Construction Value","Household Income Category"
"West Humber-Clairville",1.0,"N/A",2912.0,58271.0,2463.0,719.0,317508.0,195.0,279.0,1.4540418E7,10130.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",6561.0,3244.0,271.0,687.0,251119.0,60.0,37.0,2069362.0,9610.0
"Thistletown-Beaumond Heights",3.0,"N/A",1276.0,1311.0,217.0,718.0,414216.0,25.0,50.0,1686173.0,3225.0
"Rexdale-Kipling",4.0,"N/A",1323.0,1178.0,144.0,721.0,392271.0,75.0,21.0,297235.0,3945.0
"Elms-Old Rexdale",5.0,"N/A",1683.0,903.0,67.0,692.0,233832.0,60.0,20.0,1307302.0,3225.0
"Kingsview Village-The Westway",6.0,"N/A",4348.0,2799.0,160.0,717.0,292861.0,129.0,79.0,4881617.0,7655.0
"Willowridge-Martingrove-Richview",7.0,"N/A",2032.0,1843.0,169.0,750.0,511637.0,165.0,48.0,508462.0,8140.0
"Humber Heights-Westmount",8.0,"N/A",856.0,896.0,82.0,753.0,491396.0,140.0,66.0,2254026.0,3930.0
"Edenbridge-Humber Valley",9.0,"N/A",751.0,1334.0,153.0,761.0,873268.0,30.0,213.0,6633679.0,6020.0
"Princess-Rosethorn",10.0,"N/A",299.0,1226.0,74.0,791.0,971668.0,367.0,136.0,5775616.0,3885.0
"Eringate-Centennial-West Deane",11.0,"N/A",775.0,3472.0,229.0,775.0,423034.0,172.0,85.0,1776976.0,6895.0
"Markland Wood",12.0,"N/A",239.0,1494.0,106.0,783.0,505350.0,105.0,42.0,3448716.0,4365.0
"Etobicoke West Mall",13.0,"N/A",1091.0,4340.0,146.0,738.0,298426.0,60.0,25.0,790895.0,4045.0
"Islington-City Centre West",14.0,"N/A",2534.0,45794.0,2263.0,755.0,491678.0,204.0,854.0,9.8205339E7,16250.0
"Kingsway South",15.0,"N/A",74.0,2335.0,195.0,793.0,941223.0,115.0,163.0,4713695.0,3500.0
"Stonegate-Queensway",16.0,"N/A",1593.0,5932.0,595.0,760.0,690949.0,283.0,285.0,1.5243134E7,10420.0
"Mimico",17.0,"N/A",2634.0,11549.0,619.0,741.0,429941.0,195.0,287.0,8808814.0,13680.0
"New Toronto",18.0,"N/A",1600.0,5289.0,368.0,719.0,460811.0,90.0,93.0,2564633.0,5165.0
"Long Branch",19.0,"N/A",1024.0,1143.0,170.0,724.0,459088.0,54.0,108.0,3186671.0,4515.0
"Alderwood",20.0,"N/A",516.0,4839.0,309.0,764.0,504233.0,120.0,161.0,5550949.0,4660.0
"Humber Summit",21.0,"N/A",1659.0,17950.0,1373.0,715.0,354381.0,53.0,208.0,2296315.0,3790.0
"Humbermede",22.0,"N/A",2590.0,5799.0,374.0,695.0,314721.0,55.0,35.0,1464760.0,5115.0
"Pelmo Park-Humberlea",23.0,"N/A",798.0,2855.0,152.0,735.0,412618.0,0.0,484.0,331134.0,2975.0
"Black Creek",24.0,"N/A",6408.0,3856.0,306.0,661.0,235143.0,175.0,27.0,192356.0,7250.0
"Glenfield-Jane Heights",25.0,"N/A",7263.0,8323.0,587.0,678.0,304262.0,173.0,32.0,510269.0,10005.0
"Downsview-Roding-CFB",26.0,"N/A",5618.0,20150.0,985.0,692.0,400486.0,238.0,198.0,1384227.0,13270.0
"York University Heights",27.0,"N/A",4720.0,42885.0,2643.0,698.0,359372.0,156.0,477.0,2548200.0,10310.0
"Rustic",28.0,"N/A",1924.0,550.0,48.0,692.0,493442.0,26.0,11.0,230300.0,3655.0
"Maple Leaf",29.0,"N/A",919.0,737.0,47.0,721.0,540741.0,90.0,47.0,296105.0,3555.0
"Brookhaven-Amesbury",30.0,"N/A",3420.0,4825.0,466.0,687.0,352428.0,54.0,70.0,1901254.0,6390.0
"Yorkdale-Glen Park",31.0,"N/A",1502.0,24685.0,1468.0,729.0,421045.0,82.0,311.0,3602065.0,5240.0
"Englemount-Lawrence",32.0,"N/A",2733.0,3495.0,175.0,730.0,577889.0,105.0,193.0,4223711.0,8135.0
"Clanton Park",33.0,"N/A",734.0,5011.0,357.0,740.0,605585.0,130.0,156.0,3152886.0,5535.0
"Bathurst Manor",34.0,"N/A",1018.0,3370.0,244.0,745.0,568877.0,105.0,129.0,193166.0,6020.0
"Westminster-Branson",35.0,"N/A",2906.0,3027.0,83.0,730.0,372380.0,45.0,47.0,361885.0,10095.0
"Newtonbrook West",36.0,"N/A",2124.0,9091.0,483.0,737.0,557468.0,98.0,179.0,1704113.5,8620.0
"Willowdale West",37.0,"N/A",515.0,7110.0,363.0,766.0,541247.0,248.0,273.0,2452518.0,6675.0
"Lansing-Westgate",38.0,"N/A",468.0,12254.0,488.0,758.0,646460.0,75.0,331.0,2948359.5,5985.0
"Bedford Park-Nortown",39.0,"N/A",484.0,8187.0,676.0,776.0,1191040.0,60.0,1034.0,1.25625215E7,8715.0
"St.Andrew-Windfields",40.0,"N/A",606.0,13023.0,591.0,774.0,1363202.0,124.0,441.0,7081739.0,6460.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",37.0,11756.0,58.0,788.0,1849084.0,0.0,380.0,4725167.0,3005.0
"Banbury-Don Mills",42.0,"N/A",1030.0,25614.0,834.0,776.0,613647.0,255.0,515.0,8375149.5,11770.0
"Victoria Village",43.0,"N/A",2593.0,7035.0,431.0,730.0,365107.0,134.0,84.0,1793613.0,7285.0
"Flemingdon Park",44.0,"N/A",4348.0,5088.0,185.0,721.0,204104.0,203.0,31.0,177760.0,8035.0
"Parkwoods-Donalda",45.0,"N/A",3664.0,2802.0,209.0,731.0,553698.0,441.0,104.0,1426512.5,13140.0
"Pleasant View",46.0,"N/A",791.0,1162.0,124.0,767.0,463859.0,90.0,27.0,273084.2,5525.0
"Don Valley Village",47.0,"N/A",2137.0,5640.0,373.0,756.0,478489.0,229.0,100.0,2205105.0,9750.0
"Hillcrest Village",48.0,"N/A",694.0,11806.0,424.0,775.0,484743.0,180.0,97.0,2019837.0,6545.0
"Bayview Woods-Steeles",49.0,"N/A",666.0,2207.0,93.0,777.0,784397.0,180.0,22.0,158095.0,4720.0
"Newtonbrook East",50.0,"N/A",685.0,4357.0,400.0,757.0,626626.0,30.0,89.0,2495308.0,6225.0
"Willowdale East",51.0,"N/A",1189.0,16026.0,849.0,759.0,540911.0,209.0,583.0,7318209.0,19635.0
"Bayview Village",52.0,"N/A",626.0,9377.0,460.0,768.0,533089.0,60.0,185.0,4771402.25,7375.0
"Henry Farm",53.0,"N/A",1502.0,18728.0,717.0,736.0,372110.0,105.0,127.0,3221155.0,4095.0
"O'Connor-Parkview",54.0,"N/A",2984.0,4677.0,346.0,725.0,538203.0,75.0,180.0,1.2108671E7,7405.0
"Thorncliffe Park",55.0,"N/A",3818.0,9847.0,449.0,724.0,313618.0,21.0,89.0,3726033.0,6710.0
"Leaside-Bennington",56.0,"N/A",239.0,2901.0,313.0,791.0,1071823.0,274.0,473.0,6771523.5,6550.0
"Broadview North",57.0,"N/A",1306.0,1286.0,129.0,728.0,518555.0,57.0,48.0,1007423.0,5610.0
"Old East York",58.0,"N/A",569.0,1017.0,134.0,756.0,581398.0,88.0,75.0,1998923.0,3860.0
"Danforth-East York",59.0,"N/A",1049.0,3715.0,167.0,763.0,518568.0,214.0,191.0,6642518.0,6950.0
"Woodbine-Lumsden",60.0,"N/A",582.0,558.0,56.0,748.0,440700.0,95.0,91.0,1516020.0,3480.0
"Taylor-Massey",61.0,"N/A",2635.0,1399.0,157.0,721.0,254151.0,60.0,57.0,803474.0,6295.0
"East End-Danforth",62.0,"N/A",1901.0,3636.0,516.0,741.0,535867.0,330.0,377.0,3.9669671E7,9115.0
"The Beaches",63.0,"N/A",672.0,5694.0,531.0,764.0,751945.0,167.0,517.0,2.8421169E7,9375.0
"Woodbine Corridor",64.0,"N/A",906.0,1896.0,146.0,749.0,521549.0,214.0,151.0,6212739.0,5205.0
"Greenwood-Coxwell",65.0,"N/A",1762.0,2342.0,315.0,738.0,490920.0,94.0,152.0,6413240.0,6005.0
"Danforth",66.0,"N/A",626.0,2786.0,414.0,755.0,585093.0,152.0,140.0,1588110.0,3905.0
"Playter Estates-Danforth",67.0,"N/A",288.0,2243.0,301.0,757.0,842668.0,162.0,95.0,992853.0,3535.0
"North Riverdale",68.0,"N/A",503.0,4033.0,327.0,767.0,818592.0,233.0,197.0,1.3749484E7,5150.0
"Blake-Jones",69.0,"N/A",1021.0,1789.0,133.0,739.0,571246.0,30.0,109.0,1997887.0,3235.0
"South Riverdale",70.0,"N/A",2695.0,12378.0,1197.0,746.0,537087.0,224.0,373.0,3.2041551E7,10745.0
"Cabbagetown-South St.James Town",71.0,"N/A",986.0,2513.0,290.0,744.0,537025.0,0.0,132.0,5956061.0,6630.0
"Regent Park",72.0,"N/A",2491.0,1931.0,143.0,701.0,484444.0,30.0,56.0,4.1559039E7,3850.0
"Moss Park",73.0,"N/A",3510.0,12051.0,841.0,709.0,457524.0,110.0,203.0,1.39325062E8,9035.0
"North St.James Town",74.0,"N/A",2681.0,6705.0,243.0,705.0,489366.0,55.0,97.0,1.2240532E7,9205.0
"Church-Yonge Corridor",75.0,"N/A",3090.0,54044.0,2443.0,736.0,410703.0,45.0,590.0,1.45398382E8,18230.0
"Bay Street Corridor",76.0,"N/A",678.0,185891.0,4324.0,755.0,457787.0,30.0,2018.0,2.52540168E8,11395.0
"Waterfront Communities-The Island",77.0,"N/A",2864.0,88058.0,2899.0,748.0,416759.0,130.0,753.0,6.7339618E7,26990.0
"Kensington-Chinatown",78.0,"N/A",2523.0,37205.0,1883.0,728.0,477989.0,247.0,227.0,1.5257515E7,8630.0
"University",79.0,"N/A",259.0,10967.0,483.0,748.0,773920.0,15.0,133.0,9312834.0,3295.0
"Palmerston-Little Italy",80.0,"N/A",665.0,3262.0,521.0,742.0,781568.0,159.0,253.0,7767562.0,6235.0
"Trinity-Bellwoods",81.0,"N/A",1415.0,5380.0,715.0,742.0,723909.0,332.0,279.0,1.3563282E7,6845.0
"Niagara",82.0,"N/A",1246.0,15621.0,591.0,747.0,398281.0,65.0,304.0,9923266.0,12640.0
"Dufferin Grove",83.0,"N/A",1303.0,4072.0,375.0,721.0,502736.0,80.0,223.0,2.9158521E7,5110.0
"Little Portugal",84.0,"N/A",983.0,2597.0,344.0,727.0,514960.0,55.0,163.0,9866420.0,5305.0
"South Parkdale",85.0,"N/A",4473.0,7617.0,564.0,695.0,500054.0,70.0,87.0,2061891.0,10595.0
"Roncesvalles",86.0,"N/A",2268.0,2885.0,540.0,741.0,581425.0,150.0,172.0,3618965.0,6815.0
"High Park-Swansea",87.0,"N/A",1680.0,6594.0,448.0,770.0,622206.0,229.0,292.0,6.3576742E7,9850.0
"High Park North",88.0,"N/A",1054.0,2577.0,254.0,759.0,609689.0,241.0,159.0,4348590.0,10605.0
"Runnymede-Bloor West Village",89.0,"N/A",251.0,2421.0,334.0,777.0,666204.0,220.0,121.0,2502208.0,3805.0
"Junction Area",90.0,"N/A",1155.0,6528.0,631.0,733.0,532997.0,30.0,1097.0,6.0145956E7,5755.0
"Weston-Pellam Park",91.0,"N/A",1754.0,1214.0,178.0,698.0,382119.0,84.0,36.0,751864.0,4400.0
"Corso Italia-Davenport",92.0,"N/A",1294.0,2111.0,420.0,708.0,502819.0,105.0,68.0,1489545.0,5100.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",3563.0,5077.0,890.0,719.0,512789.0,179.0,377.0,2.3657741E7,13945.0
"Wychwood",94.0,"N/A",911.0,5143.0,379.0,745.0,656868.0,84.0,123.0,3171198.0,5530.0
"Annex",95.0,"N/A",1150.0,25719.0,2328.0,755.0,993491.0,201.0,534.0,2.6824774E7,15545.0
"Casa Loma",96.0,"N/A",189.0,3283.0,258.0,771.0,1083381.0,142.0,176.0,9440903.0,5325.0
"Yonge-St.Clair",97.0,"N/A",283.0,7858.0,468.0,771.0,995616.0,20.0,174.0,4582791.0,6780.0
"Rosedale-Moore Park",98.0,"N/A",499.0,19160.0,683.0,777.0,1265389.0,162.0,558.0,4.6406566E7,10005.0
"Mount Pleasant East",99.0,"N/A",288.0,4741.0,463.0,777.0,815247.0,82.0,378.0,3.1631501E7,7375.0
"Yonge-Eglinton",100.0,"N/A",189.0,11746.0,690.0,759.0,975449.0,45.0,297.0,7839335.0,5200.0
"Forest Hill South",101.0,"N/A",134.0,1945.0,175.0,775.0,1585984.0,30.0,297.0,1.7200889E7,4790.0
"Forest Hill North",102.0,"N/A",633.0,897.0,144.0,749.0,957688.0,110.0,147.0,4421135.0,5335.0
"Lawrence Park South",103.0,"N/A",240.0,1634.0,167.0,784.0,1215390.0,140.0,363.0,6753372.5,5675.0
"Mount Pleasant West",104.0,"N/A",1343.0,13311.0,1129.0,753.0,520032.0,255.0,210.0,5.2411286E7,17575.0
"Lawrence Park North",105.0,"N/A",166.0,3624.0,381.0,790.0,980831.0,212.0,379.0,6394271.0,5495.0
"Humewood-Cedarvale",106.0,"N/A",698.0,1345.0,139.0,747.0,800442.0,108.0,156.0,5466104.0,6575.0
"Oakwood Village",107.0,"N/A",2412.0,1573.0,255.0,713.0,482040.0,168.0,158.0,2379230.5,8555.0
"Briar Hill-Belgravia",108.0,"N/A",1432.0,3446.0,477.0,719.0,373937.0,25.0,75.0,1405089.0,5810.0
"Caledonia-Fairbank",109.0,"N/A",1153.0,944.0,92.0,700.0,400532.0,75.0,57.0,700915.0,3515.0
"Keelesdale-Eglinton West",110.0,"N/A",1653.0,1644.0,266.0,707.0,373029.0,25.0,73.0,3761195.0,3980.0
"Rockcliffe-Smythe",111.0,"N/A",3422.0,3345.0,314.0,710.0,353967.0,110.0,125.0,1814045.0,8905.0
"Beechborough-Greenbrook",112.0,"N/A",1478.0,4140.0,128.0,677.0,440179.0,22.0,22.0,4.521333E7,2665.0
"Weston",113.0,"N/A",4149.0,4578.0,536.0,679.0,280187.0,157.0,82.0,1010125.0,7905.0
"Lambton Baby Point",114.0,"N/A",1049.0,438.0,66.0,749.0,806452.0,19.0,93.0,2569114.0,3160.0
"Mount Dennis",115.0,"N/A",2937.0,2198.0,184.0,680.0,273418.0,109.0,36.0,1289680.0,4880.0
"Steeles",116.0,"N/A",1549.0,5835.0,237.0,778.0,440688.0,105.0,45.0,1505418.0,7680.0
"L'Amoreaux",117.0,"N/A",3848.0,4734.0,443.0,758.0,355438.0,126.0,136.0,6580863.0,14920.0
"Tam O'Shanter-Sullivan",118.0,"N/A",1973.0,3882.0,343.0,756.0,411143.0,192.0,84.0,3258355.0,9810.0
"Wexford/Maryvale",119.0,"N/A",3014.0,16717.0,945.0,735.0,422689.0,140.0,233.0,1.8191043E7,9975.0
"Clairlea-Birchmount",120.0,"N/A",2688.0,15391.0,831.0,741.0,387912.0,84.0,473.0,3.5982538E7,8755.0
"Oakridge",121.0,"N/A",2967.0,1768.0,201.0,704.0,347446.0,54.0,33.0,2182900.0,5230.0
"Birchcliffe-Cliffside",122.0,"N/A",1789.0,3228.0,345.0,747.0,522905.0,110.0,287.0,1.4601684E7,9190.0
"Cliffcrest",123.0,"N/A",1342.0,2132.0,200.0,748.0,542218.0,70.0,88.0,3963605.0,5820.0
"Kennedy Park",124.0,"N/A",2583.0,1824.0,261.0,729.0,293600.0,82.0,68.0,6411900.0,6530.0
"Ionview",125.0,"N/A",1675.0,1003.0,148.0,712.0,330109.0,45.0,23.0,400001.0,5070.0
"Dorset Park",126.0,"N/A",2803.0,12722.0,969.0,727.0,279189.0,52.0,105.0,8241352.0,8525.0
"Bendale",127.0,"N/A",2729.0,17680.0,853.0,738.0,329355.0,200.0,203.0,1.375086856E7,9995.0
"Agincourt South-Malvern West",128.0,"N/A",1542.0,18329.0,1378.0,756.0,332710.0,135.0,293.0,1.48133474E8,6885.0
"Agincourt North",129.0,"N/A",1930.0,7449.0,353.0,765.0,375307.0,130.0,91.0,3654530.0,9145.0
"Milliken",130.0,"N/A",1921.0,16901.0,2090.0,770.0,387879.0,220.0,269.0,1.6932249E7,7785.0
"Rouge",131.0,"N/A",2994.0,14207.0,877.0,738.0,426850.0,210.0,415.0,3.9374128E7,13060.0
"Malvern",132.0,"N/A",5078.0,11173.0,625.0,724.0,256488.0,81.0,165.0,5.21807E7,13410.0
"Centennial Scarborough",133.0,"N/A",399.0,951.0,126.0,774.0,491024.0,80.0,111.0,3421365.0,4275.0
"Highland Creek",134.0,"N/A",724.0,1798.0,91.0,751.0,529278.0,110.0,172.0,1.3313604E7,3805.0
"Morningside",135.0,"N/A",2534.0,3566.0,108.0,711.0,289646.0,28.0,27.0,541812.0,5860.0
"West Hill",136.0,"N/A",4974.0,4500.0,424.0,706.0,308229.0,153.0,704.0,2.1910834E7,9695.0
"Woburn",137.0,"N/A",6747.0,16190.0,1073.0,723.0,316584.0,214.0,185.0,1.965371E7,18380.0
"Eglinton East",138.0,"N/A",4171.0,2351.0,296.0,705.0,274020.0,143.0,48.0,3286408.0,8055.0
"Scarborough Village",139.0,"N/A",4133.0,1851.0,228.0,699.0,356096.0,217.0,256.0,3924625.0,5910.0
"Guildwood",140.0,"N/A",309.0,924.0,67.0,774.0,444309.0,171.0,101.0,4178150.0,3955.0
