"Neighbourhood","Neighbourhood Id","Combined Indicators","Road Kilometres","Road Volume","TTC Stops","Pedestrian/Other Collisions","TTC Overcrowded Routes"
"West Humber-Clairville",1.0,"N/A",165.0,5957.0,326.0,961.0,"N/A"
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",34.0,3514.0,67.0,283.0,"N/A"
"Thistletown-Beaumond Heights",3.0,"N/A",28.0,3545.0,45.0,143.0,"N/A"
"Rexdale-Kipling",4.0,"N/A",25.0,7621.0,36.0,79.0,"N/A"
"Elms-Old Rexdale",5.0,"N/A",17.0,4116.0,29.0,77.0,"N/A"
"Kingsview Village-The Westway",6.0,"N/A",35.0,3371.0,52.0,141.0,"N/A"
"Willowridge-Martingrove-Richview",7.0,"N/A",58.0,2447.0,81.0,119.0,"N/A"
"Humber Heights-Westmount",8.0,"N/A",25.0,7039.0,56.0,22.0,"N/A"
"Edenbridge-Humber Valley",9.0,"N/A",45.0,4880.0,47.0,62.0,"N/A"
"Princess-Rosethorn",10.0,"N/A",56.0,4781.0,62.0,54.0,"N/A"
"Eringate-Centennial-West Deane",11.0,"N/A",63.0,6543.0,71.0,103.0,"N/A"
"Markland Wood",12.0,"N/A",28.0,4689.0,27.0,34.0,"N/A"
"Etobicoke West Mall",13.0,"N/A",16.0,3598.0,29.0,63.0,"N/A"
"Islington-City Centre West",14.0,"N/A",120.0,5705.0,229.0,791.0,"N/A"
"Kingsway South",15.0,"N/A",30.0,5078.0,27.0,53.0,"N/A"
"Stonegate-Queensway",16.0,"N/A",85.0,7115.0,110.0,177.0,"N/A"
"Mimico",17.0,"N/A",53.0,4600.0,109.0,136.0,"N/A"
"New Toronto",18.0,"N/A",28.0,4542.0,40.0,84.0,"N/A"
"Long Branch",19.0,"N/A",26.0,2514.0,20.0,57.0,"N/A"
"Alderwood",20.0,"N/A",44.0,4381.0,56.0,51.0,"N/A"
"Humber Summit",21.0,"N/A",49.0,4400.0,96.0,267.0,"N/A"
"Humbermede",22.0,"N/A",28.0,4377.0,51.0,147.0,"N/A"
"Pelmo Park-Humberlea",23.0,"N/A",32.0,5890.0,44.0,172.0,"N/A"
"Black Creek",24.0,"N/A",24.0,7326.0,85.0,222.0,"N/A"
"Glenfield-Jane Heights",25.0,"N/A",42.0,3633.0,89.0,368.0,"N/A"
"Downsview-Roding-CFB",26.0,"N/A",88.0,2826.0,167.0,599.0,"N/A"
"York University Heights",27.0,"N/A",68.0,5546.0,219.0,755.0,"N/A"
"Rustic",28.0,"N/A",20.0,7692.0,24.0,41.0,"N/A"
"Maple Leaf",29.0,"N/A",23.0,3385.0,19.0,35.0,"N/A"
"Brookhaven-Amesbury",30.0,"N/A",30.0,4326.0,66.0,230.0,"N/A"
"Yorkdale-Glen Park",31.0,"N/A",50.0,4194.0,137.0,1085.0,"N/A"
"Englemount-Lawrence",32.0,"N/A",40.0,3056.0,78.0,201.0,"N/A"
"Clanton Park",33.0,"N/A",43.0,3513.0,50.0,233.0,"N/A"
"Bathurst Manor",34.0,"N/A",41.0,5594.0,60.0,167.0,"N/A"
"Westminster-Branson",35.0,"N/A",23.0,4358.0,36.0,204.0,"N/A"
"Newtonbrook West",36.0,"N/A",47.0,5775.0,88.0,438.0,"N/A"
"Willowdale West",37.0,"N/A",32.0,4808.0,32.0,162.0,"N/A"
"Lansing-Westgate",38.0,"N/A",39.0,6920.0,42.0,192.0,"N/A"
"Bedford Park-Nortown",39.0,"N/A",63.0,3124.0,76.0,195.0,"N/A"
"St.Andrew-Windfields",40.0,"N/A",60.0,3596.0,113.0,194.0,"N/A"
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",48.0,7224.0,73.0,174.0,"N/A"
"Banbury-Don Mills",42.0,"N/A",75.0,4751.0,125.0,388.0,"N/A"
"Victoria Village",43.0,"N/A",34.0,5075.0,72.0,169.0,"N/A"
"Flemingdon Park",44.0,"N/A",12.0,5799.0,51.0,178.0,"N/A"
"Parkwoods-Donalda",45.0,"N/A",58.0,4193.0,93.0,227.0,"N/A"
"Pleasant View",46.0,"N/A",33.0,4517.0,31.0,105.0,"N/A"
"Don Valley Village",47.0,"N/A",40.0,6050.0,45.0,433.0,"N/A"
"Hillcrest Village",48.0,"N/A",41.0,3566.0,79.0,299.0,"N/A"
"Bayview Woods-Steeles",49.0,"N/A",30.0,10812.0,45.0,94.0,"N/A"
"Newtonbrook East",50.0,"N/A",39.0,4012.0,71.0,192.0,"N/A"
"Willowdale East",51.0,"N/A",62.0,5920.0,66.0,319.0,"N/A"
"Bayview Village",52.0,"N/A",37.0,3855.0,44.0,387.0,"N/A"
"Henry Farm",53.0,"N/A",16.0,5659.0,35.0,173.0,"N/A"
"O'Connor-Parkview",54.0,"N/A",44.0,2532.0,84.0,135.0,"N/A"
"Thorncliffe Park",55.0,"N/A",13.0,6612.0,60.0,294.0,"N/A"
"Leaside-Bennington",56.0,"N/A",48.0,8702.0,59.0,113.0,"N/A"
"Broadview North",57.0,"N/A",15.0,3892.0,36.0,55.0,"N/A"
"Old East York",58.0,"N/A",0.0,0.0,60.0,65.0,"N/A"
"Danforth-East York",59.0,"N/A",35.0,3040.0,66.0,86.0,"N/A"
"Woodbine-Lumsden",60.0,"N/A",16.0,2022.0,33.0,20.0,"N/A"
"Taylor-Massey",61.0,"N/A",11.0,3576.0,27.0,134.0,"N/A"
"East End-Danforth",62.0,"N/A",0.0,0.0,68.0,165.0,"N/A"
"The Beaches",63.0,"N/A",44.0,3434.0,60.0,133.0,"N/A"
"Woodbine Corridor",64.0,"N/A",21.0,5104.0,33.0,83.0,"N/A"
"Greenwood-Coxwell",65.0,"N/A",24.0,2622.0,42.0,91.0,"N/A"
"Danforth",66.0,"N/A",0.0,0.0,24.0,57.0,"N/A"
"Playter Estates-Danforth",67.0,"N/A",12.0,2725.0,17.0,53.0,"N/A"
"North Riverdale",68.0,"N/A",19.0,3522.0,35.0,106.0,"N/A"
"Blake-Jones",69.0,"N/A",0.0,0.0,21.0,74.0,"N/A"
"South Riverdale",70.0,"N/A",57.0,7386.0,121.0,360.0,"N/A"
"Cabbagetown-South St.James Town",71.0,"N/A",15.0,1741.0,26.0,86.0,"N/A"
"Regent Park",72.0,"N/A",0.0,0.0,21.0,51.0,"N/A"
"Moss Park",73.0,"N/A",24.0,7509.0,68.0,218.0,"N/A"
"North St.James Town",74.0,"N/A",5.0,2378.0,15.0,59.0,"N/A"
"Church-Yonge Corridor",75.0,"N/A",23.0,4184.0,62.0,417.0,"N/A"
"Bay Street Corridor",76.0,"N/A",26.0,4701.0,103.0,728.0,"N/A"
"Waterfront Communities-The Island",77.0,"N/A",64.0,5772.0,111.0,767.0,"N/A"
"Kensington-Chinatown",78.0,"N/A",21.0,4153.0,44.0,266.0,"N/A"
"University",79.0,"N/A",0.0,0.0,39.0,153.0,"N/A"
"Palmerston-Little Italy",80.0,"N/A",19.0,2292.0,41.0,138.0,"N/A"
"Trinity-Bellwoods",81.0,"N/A",27.0,4140.0,40.0,200.0,"N/A"
"Niagara",82.0,"N/A",20.0,5348.0,63.0,252.0,"N/A"
"Dufferin Grove",83.0,"N/A",16.0,3287.0,34.0,195.0,"N/A"
"Little Portugal",84.0,"N/A",17.0,6816.0,35.0,123.0,"N/A"
"South Parkdale",85.0,"N/A",25.0,6156.0,44.0,184.0,"N/A"
"Roncesvalles",86.0,"N/A",19.0,4172.0,35.0,96.0,"N/A"
"High Park-Swansea",87.0,"N/A",48.0,4832.0,91.0,145.0,"N/A"
"High Park North",88.0,"N/A",24.0,2299.0,40.0,64.0,"N/A"
"Runnymede-Bloor West Village",89.0,"N/A",20.0,2668.0,42.0,87.0,"N/A"
"Junction Area",90.0,"N/A",27.0,5994.0,77.0,180.0,"N/A"
"Weston-Pellam Park",91.0,"N/A",17.0,2897.0,25.0,88.0,"N/A"
"Corso Italia-Davenport",92.0,"N/A",22.0,3833.0,49.0,86.0,"N/A"
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",48.0,3898.0,107.0,245.0,"N/A"
"Wychwood",94.0,"N/A",22.0,3112.0,51.0,115.0,"N/A"
"Annex",95.0,"N/A",39.0,5810.0,86.0,347.0,"N/A"
"Casa Loma",96.0,"N/A",23.0,3816.0,45.0,76.0,"N/A"
"Yonge-St.Clair",97.0,"N/A",13.0,7116.0,23.0,50.0,"N/A"
"Rosedale-Moore Park",98.0,"N/A",48.0,3647.0,72.0,150.0,"N/A"
"Mount Pleasant East",99.0,"N/A",28.0,5381.0,52.0,108.0,"N/A"
"Yonge-Eglinton",100.0,"N/A",22.0,5391.0,43.0,149.0,"N/A"
"Forest Hill South",101.0,"N/A",30.0,5855.0,35.0,54.0,"N/A"
"Forest Hill North",102.0,"N/A",20.0,5873.0,30.0,57.0,"N/A"
"Lawrence Park South",103.0,"N/A",40.0,4398.0,45.0,80.0,"N/A"
"Mount Pleasant West",104.0,"N/A",16.0,5828.0,42.0,149.0,"N/A"
"Lawrence Park North",105.0,"N/A",30.0,4704.0,37.0,67.0,"N/A"
"Humewood-Cedarvale",106.0,"N/A",23.0,3941.0,26.0,55.0,"N/A"
"Oakwood Village",107.0,"N/A",33.0,4504.0,47.0,76.0,"N/A"
"Briar Hill-Belgravia",108.0,"N/A",22.0,11837.0,31.0,106.0,"N/A"
"Caledonia-Fairbank",109.0,"N/A",19.0,5796.0,35.0,59.0,"N/A"
"Keelesdale-Eglinton West",110.0,"N/A",22.0,2187.0,33.0,100.0,"N/A"
"Rockcliffe-Smythe",111.0,"N/A",43.0,5589.0,104.0,136.0,"N/A"
"Beechborough-Greenbrook",112.0,"N/A",16.0,5102.0,26.0,79.0,"N/A"
"Weston",113.0,"N/A",29.0,4369.0,70.0,182.0,"N/A"
"Lambton Baby Point",114.0,"N/A",19.0,2338.0,24.0,28.0,"N/A"
"Mount Dennis",115.0,"N/A",18.0,13492.0,42.0,68.0,"N/A"
"Steeles",116.0,"N/A",46.0,3711.0,87.0,128.0,"N/A"
"L'Amoreaux",117.0,"N/A",67.0,2483.0,118.0,397.0,"N/A"
"Tam O'Shanter-Sullivan",118.0,"N/A",51.0,2522.0,73.0,415.0,"N/A"
"Wexford/Maryvale",119.0,"N/A",87.0,3539.0,161.0,697.0,"N/A"
"Clairlea-Birchmount",120.0,"N/A",64.0,3601.0,130.0,540.0,"N/A"
"Oakridge",121.0,"N/A",19.0,3205.0,46.0,109.0,"N/A"
"Birchcliffe-Cliffside",122.0,"N/A",64.0,2636.0,96.0,133.0,"N/A"
"Cliffcrest",123.0,"N/A",51.0,3780.0,67.0,130.0,"N/A"
"Kennedy Park",124.0,"N/A",31.0,2877.0,63.0,181.0,"N/A"
"Ionview",125.0,"N/A",17.0,2664.0,25.0,163.0,"N/A"
"Dorset Park",126.0,"N/A",39.0,3959.0,78.0,552.0,"N/A"
"Bendale",127.0,"N/A",63.0,4499.0,103.0,933.0,"N/A"
"Agincourt South-Malvern West",128.0,"N/A",56.0,3773.0,121.0,501.0,"N/A"
"Agincourt North",129.0,"N/A",57.0,3584.0,90.0,222.0,"N/A"
"Milliken",130.0,"N/A",67.0,3918.0,158.0,541.0,"N/A"
"Rouge",131.0,"N/A",116.0,4301.0,188.0,288.0,"N/A"
"Malvern",132.0,"N/A",75.0,3767.0,181.0,411.0,"N/A"
"Centennial Scarborough",133.0,"N/A",46.0,2995.0,46.0,77.0,"N/A"
"Highland Creek",134.0,"N/A",38.0,3517.0,63.0,76.0,"N/A"
"Morningside",135.0,"N/A",32.0,4873.0,31.0,174.0,"N/A"
"West Hill",136.0,"N/A",61.0,3824.0,76.0,251.0,"N/A"
"Woburn",137.0,"N/A",103.0,4657.0,138.0,809.0,"N/A"
"Eglinton East",138.0,"N/A",29.0,3086.0,52.0,283.0,"N/A"
"Scarborough Village",139.0,"N/A",23.0,2112.0,29.0,159.0,"N/A"
"Guildwood",140.0,"N/A",31.0,2115.0,29.0,46.0,"N/A"
