"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","   Chinese","   South Asian","   Black","   Filipino","   Latin American","   Southeast Asian","   Arab","   West Asian","   Japanese","   Korean","   Other Visible Minority","   Multiple Visible Minority","   Not a Visible Minority"
"West Humber-Clairville",1.0,"N/A",26475.0,695.0,13080.0,6385.0,1470.0,1220.0,820.0,235.0,220.0,55.0,100.0,1615.0,580.0,6855.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",28175.0,200.0,12720.0,8285.0,680.0,870.0,560.0,1605.0,1160.0,0.0,85.0,1565.0,435.0,4525.0
"Thistletown-Beaumond Heights",3.0,"N/A",6285.0,105.0,2285.0,1530.0,485.0,670.0,200.0,210.0,285.0,10.0,0.0,225.0,275.0,3705.0
"Rexdale-Kipling",4.0,"N/A",4425.0,200.0,1435.0,1025.0,245.0,650.0,85.0,55.0,40.0,50.0,90.0,385.0,175.0,5735.0
"Elms-Old Rexdale",5.0,"N/A",5510.0,120.0,925.0,2150.0,605.0,695.0,400.0,80.0,265.0,0.0,55.0,70.0,145.0,4030.0
"Kingsview Village-The Westway",6.0,"N/A",12180.0,450.0,3965.0,4415.0,555.0,815.0,275.0,225.0,730.0,40.0,175.0,240.0,290.0,9440.0
"Willowridge-Martingrove-Richview",7.0,"N/A",7915.0,460.0,2425.0,2250.0,435.0,950.0,115.0,175.0,245.0,80.0,365.0,195.0,215.0,13520.0
"Humber Heights-Westmount",8.0,"N/A",2435.0,105.0,380.0,960.0,80.0,410.0,25.0,185.0,25.0,0.0,140.0,35.0,85.0,7270.0
"Edenbridge-Humber Valley",9.0,"N/A",2610.0,265.0,200.0,580.0,165.0,540.0,70.0,155.0,95.0,45.0,290.0,35.0,160.0,12295.0
"Princess-Rosethorn",10.0,"N/A",1810.0,330.0,540.0,290.0,125.0,60.0,25.0,25.0,20.0,55.0,245.0,0.0,100.0,9340.0
"Eringate-Centennial-West Deane",11.0,"N/A",5180.0,595.0,1315.0,1190.0,370.0,290.0,130.0,85.0,100.0,235.0,530.0,165.0,165.0,13570.0
"Markland Wood",12.0,"N/A",1445.0,275.0,245.0,120.0,210.0,65.0,25.0,105.0,30.0,60.0,255.0,0.0,40.0,8920.0
"Etobicoke West Mall",13.0,"N/A",4250.0,295.0,1200.0,1000.0,585.0,295.0,50.0,130.0,285.0,35.0,215.0,115.0,55.0,6265.0
"Islington-City Centre West",14.0,"N/A",12355.0,1235.0,2535.0,2150.0,1405.0,1040.0,765.0,210.0,390.0,225.0,1590.0,525.0,300.0,25060.0
"Kingsway South",15.0,"N/A",1005.0,280.0,245.0,80.0,75.0,50.0,25.0,0.0,0.0,45.0,165.0,0.0,25.0,8100.0
"Stonegate-Queensway",16.0,"N/A",3890.0,350.0,1015.0,545.0,355.0,390.0,425.0,115.0,120.0,170.0,180.0,110.0,115.0,20645.0
"Mimico",17.0,"N/A",6700.0,1095.0,1055.0,1300.0,865.0,620.0,310.0,445.0,250.0,125.0,205.0,230.0,195.0,19640.0
"New Toronto",18.0,"N/A",3260.0,140.0,460.0,1215.0,505.0,215.0,110.0,110.0,45.0,65.0,70.0,250.0,75.0,7410.0
"Long Branch",19.0,"N/A",2005.0,170.0,245.0,330.0,380.0,340.0,65.0,35.0,35.0,40.0,105.0,145.0,115.0,7590.0
"Alderwood",20.0,"N/A",1955.0,285.0,500.0,205.0,540.0,125.0,40.0,0.0,0.0,50.0,20.0,135.0,30.0,9910.0
"Humber Summit",21.0,"N/A",7340.0,65.0,3980.0,1195.0,140.0,555.0,550.0,265.0,335.0,0.0,0.0,140.0,120.0,5165.0
"Humbermede",22.0,"N/A",11725.0,195.0,3800.0,3005.0,605.0,1870.0,875.0,180.0,195.0,0.0,100.0,495.0,405.0,4105.0
"Pelmo Park-Humberlea",23.0,"N/A",3240.0,130.0,480.0,945.0,225.0,470.0,425.0,85.0,110.0,20.0,45.0,135.0,170.0,5385.0
"Black Creek",24.0,"N/A",17805.0,835.0,2575.0,7035.0,575.0,1430.0,2455.0,865.0,475.0,0.0,40.0,1095.0,410.0,4130.0
"Glenfield-Jane Heights",25.0,"N/A",23905.0,1405.0,2660.0,7190.0,720.0,5085.0,4020.0,565.0,370.0,0.0,30.0,605.0,1245.0,7120.0
"Downsview-Roding-CFB",26.0,"N/A",18135.0,690.0,1495.0,5995.0,2805.0,3060.0,2150.0,315.0,250.0,55.0,95.0,600.0,625.0,16370.0
"York University Heights",27.0,"N/A",17710.0,1920.0,4420.0,4590.0,1560.0,1270.0,1415.0,355.0,585.0,115.0,315.0,530.0,630.0,9595.0
"Rustic",28.0,"N/A",6125.0,55.0,485.0,3825.0,355.0,670.0,370.0,100.0,40.0,20.0,0.0,95.0,115.0,3765.0
"Maple Leaf",29.0,"N/A",4390.0,175.0,1310.0,725.0,1000.0,695.0,200.0,40.0,75.0,0.0,0.0,75.0,95.0,5550.0
"Brookhaven-Amesbury",30.0,"N/A",11220.0,615.0,1615.0,4490.0,720.0,1660.0,1265.0,95.0,45.0,0.0,40.0,285.0,400.0,6280.0
"Yorkdale-Glen Park",31.0,"N/A",6115.0,800.0,755.0,1565.0,935.0,725.0,500.0,110.0,175.0,15.0,10.0,290.0,225.0,7705.0
"Englemount-Lawrence",32.0,"N/A",8225.0,375.0,545.0,2620.0,3360.0,400.0,215.0,50.0,225.0,35.0,40.0,170.0,195.0,12975.0
"Clanton Park",33.0,"N/A",5010.0,275.0,375.0,555.0,3090.0,205.0,50.0,30.0,45.0,20.0,60.0,115.0,195.0,9540.0
"Bathurst Manor",34.0,"N/A",4340.0,360.0,530.0,475.0,1340.0,495.0,60.0,135.0,435.0,15.0,195.0,90.0,195.0,10745.0
"Westminster-Branson",35.0,"N/A",8765.0,560.0,555.0,855.0,4085.0,390.0,65.0,270.0,665.0,60.0,745.0,75.0,425.0,16600.0
"Newtonbrook West",36.0,"N/A",11630.0,1845.0,815.0,425.0,3460.0,225.0,130.0,190.0,1710.0,110.0,2220.0,30.0,470.0,11220.0
"Willowdale West",37.0,"N/A",7410.0,2735.0,605.0,255.0,450.0,190.0,45.0,165.0,1275.0,95.0,1435.0,20.0,155.0,7555.0
"Lansing-Westgate",38.0,"N/A",4945.0,1340.0,365.0,410.0,800.0,165.0,70.0,205.0,665.0,115.0,640.0,50.0,120.0,9610.0
"Bedford Park-Nortown",39.0,"N/A",4090.0,580.0,355.0,390.0,1655.0,245.0,25.0,205.0,160.0,120.0,165.0,40.0,145.0,18845.0
"St.Andrew-Windfields",40.0,"N/A",7725.0,3220.0,1080.0,400.0,495.0,220.0,120.0,135.0,820.0,115.0,900.0,50.0,170.0,10165.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",1965.0,990.0,210.0,25.0,90.0,30.0,0.0,30.0,325.0,100.0,75.0,0.0,80.0,6685.0
"Banbury-Don Mills",42.0,"N/A",11935.0,4295.0,2340.0,940.0,970.0,315.0,200.0,595.0,980.0,250.0,615.0,115.0,335.0,14595.0
"Victoria Village",43.0,"N/A",9390.0,765.0,2905.0,1740.0,1000.0,330.0,215.0,885.0,670.0,65.0,150.0,330.0,350.0,7470.0
"Flemingdon Park",44.0,"N/A",17115.0,1405.0,7350.0,2395.0,1785.0,650.0,360.0,350.0,1880.0,25.0,265.0,340.0,310.0,5045.0
"Parkwoods-Donalda",45.0,"N/A",17715.0,2910.0,3780.0,3630.0,1940.0,1000.0,190.0,1200.0,1270.0,185.0,815.0,310.0,500.0,16840.0
"Pleasant View",46.0,"N/A",10230.0,5800.0,1615.0,535.0,570.0,215.0,30.0,370.0,440.0,85.0,160.0,110.0,300.0,5905.0
"Don Valley Village",47.0,"N/A",18195.0,7340.0,3070.0,1290.0,1650.0,545.0,235.0,520.0,2095.0,175.0,625.0,210.0,440.0,8280.0
"Hillcrest Village",48.0,"N/A",12525.0,8295.0,1150.0,690.0,420.0,95.0,215.0,200.0,625.0,45.0,480.0,115.0,200.0,4900.0
"Bayview Woods-Steeles",49.0,"N/A",8210.0,4300.0,850.0,575.0,45.0,40.0,70.0,215.0,900.0,120.0,885.0,80.0,135.0,4965.0
"Newtonbrook East",50.0,"N/A",10790.0,4545.0,925.0,235.0,440.0,90.0,50.0,160.0,2075.0,95.0,1900.0,90.0,185.0,5125.0
"Willowdale East",51.0,"N/A",31410.0,14425.0,2215.0,1100.0,600.0,515.0,260.0,1100.0,4795.0,515.0,5025.0,85.0,770.0,13535.0
"Bayview Village",52.0,"N/A",10615.0,4735.0,855.0,725.0,465.0,210.0,190.0,195.0,1505.0,165.0,1235.0,50.0,295.0,6680.0
"Henry Farm",53.0,"N/A",8525.0,2075.0,2310.0,940.0,1185.0,105.0,120.0,575.0,780.0,0.0,180.0,90.0,150.0,2885.0
"O'Connor-Parkview",54.0,"N/A",6410.0,680.0,1680.0,1435.0,965.0,340.0,260.0,0.0,435.0,105.0,50.0,185.0,265.0,11735.0
"Thorncliffe Park",55.0,"N/A",14785.0,395.0,9450.0,680.0,1480.0,355.0,135.0,290.0,1420.0,55.0,60.0,205.0,260.0,4315.0
"Leaside-Bennington",56.0,"N/A",2180.0,695.0,365.0,240.0,150.0,80.0,80.0,50.0,110.0,145.0,180.0,20.0,65.0,14275.0
"Broadview North",57.0,"N/A",2620.0,490.0,370.0,490.0,520.0,180.0,40.0,145.0,70.0,90.0,90.0,115.0,20.0,8820.0
"Old East York",58.0,"N/A",2310.0,680.0,360.0,235.0,600.0,60.0,85.0,0.0,25.0,100.0,70.0,45.0,45.0,6785.0
"Danforth-East York",59.0,"N/A",2415.0,910.0,630.0,255.0,195.0,35.0,85.0,0.0,35.0,60.0,50.0,60.0,95.0,6960.0
"Woodbine-Lumsden",60.0,"N/A",3025.0,835.0,585.0,630.0,200.0,175.0,115.0,15.0,35.0,50.0,70.0,105.0,200.0,8650.0
"Taylor-Massey",61.0,"N/A",9990.0,830.0,5670.0,1235.0,695.0,305.0,395.0,70.0,280.0,35.0,70.0,170.0,235.0,5405.0
"East End-Danforth",62.0,"N/A",5860.0,1335.0,1260.0,1175.0,835.0,145.0,175.0,230.0,165.0,75.0,95.0,110.0,265.0,14610.0
"The Beaches",63.0,"N/A",2235.0,455.0,445.0,350.0,175.0,130.0,80.0,0.0,20.0,145.0,120.0,175.0,115.0,18710.0
"Woodbine Corridor",64.0,"N/A",2355.0,685.0,430.0,355.0,295.0,45.0,95.0,135.0,45.0,45.0,0.0,100.0,125.0,5445.0
"Greenwood-Coxwell",65.0,"N/A",5835.0,2310.0,1125.0,985.0,405.0,110.0,245.0,25.0,135.0,70.0,60.0,120.0,250.0,8160.0
"Danforth",66.0,"N/A",4375.0,1680.0,735.0,500.0,395.0,190.0,140.0,0.0,215.0,150.0,35.0,130.0,205.0,12260.0
"Playter Estates-Danforth",67.0,"N/A",1310.0,365.0,210.0,120.0,85.0,115.0,55.0,0.0,20.0,120.0,100.0,35.0,65.0,6190.0
"North Riverdale",68.0,"N/A",2840.0,1550.0,195.0,245.0,55.0,130.0,240.0,0.0,0.0,150.0,50.0,25.0,190.0,9100.0
"Blake-Jones",69.0,"N/A",2830.0,980.0,465.0,630.0,50.0,100.0,85.0,105.0,210.0,0.0,0.0,75.0,105.0,4880.0
"South Riverdale",70.0,"N/A",11390.0,6635.0,940.0,1090.0,615.0,225.0,550.0,50.0,45.0,150.0,30.0,290.0,765.0,13380.0
"Cabbagetown-South St.James Town",71.0,"N/A",3080.0,530.0,510.0,430.0,630.0,245.0,150.0,40.0,110.0,65.0,100.0,105.0,170.0,8280.0
"Regent Park",72.0,"N/A",7005.0,1245.0,2695.0,1750.0,200.0,195.0,520.0,45.0,80.0,0.0,55.0,30.0,185.0,2310.0
"Moss Park",73.0,"N/A",5670.0,810.0,860.0,1875.0,370.0,390.0,325.0,110.0,185.0,65.0,290.0,125.0,260.0,8670.0
"North St.James Town",74.0,"N/A",11480.0,1030.0,3390.0,1890.0,2935.0,380.0,305.0,270.0,220.0,70.0,395.0,280.0,315.0,6110.0
"Church-Yonge Corridor",75.0,"N/A",10455.0,2930.0,1575.0,1555.0,780.0,730.0,485.0,595.0,315.0,250.0,590.0,240.0,405.0,17145.0
"Bay Street Corridor",76.0,"N/A",10555.0,4005.0,1690.0,630.0,225.0,365.0,480.0,1105.0,370.0,265.0,1010.0,120.0,305.0,8635.0
"Waterfront Communities-The Island",77.0,"N/A",17445.0,5075.0,3730.0,2205.0,1085.0,905.0,690.0,900.0,870.0,325.0,735.0,185.0,740.0,25705.0
"Kensington-Chinatown",78.0,"N/A",11170.0,7030.0,645.0,995.0,375.0,315.0,605.0,195.0,275.0,100.0,280.0,95.0,255.0,6830.0
"University",79.0,"N/A",2265.0,910.0,285.0,150.0,125.0,140.0,110.0,45.0,0.0,105.0,225.0,65.0,90.0,4325.0
"Palmerston-Little Italy",80.0,"N/A",3125.0,1225.0,360.0,395.0,95.0,265.0,75.0,20.0,120.0,120.0,195.0,30.0,215.0,10550.0
"Trinity-Bellwoods",81.0,"N/A",5045.0,3580.0,275.0,345.0,105.0,195.0,210.0,45.0,0.0,115.0,25.0,40.0,100.0,11450.0
"Niagara",82.0,"N/A",6255.0,1475.0,1000.0,1150.0,495.0,460.0,350.0,245.0,155.0,100.0,280.0,185.0,370.0,14400.0
"Dufferin Grove",83.0,"N/A",3615.0,860.0,790.0,400.0,115.0,620.0,210.0,210.0,20.0,60.0,95.0,115.0,120.0,7765.0
"Little Portugal",84.0,"N/A",3030.0,1040.0,265.0,430.0,95.0,295.0,325.0,40.0,25.0,50.0,70.0,135.0,240.0,8795.0
"South Parkdale",85.0,"N/A",9700.0,645.0,1955.0,1750.0,1440.0,520.0,965.0,275.0,215.0,160.0,130.0,1260.0,390.0,10365.0
"Roncesvalles",86.0,"N/A",3865.0,680.0,1085.0,600.0,150.0,255.0,455.0,30.0,30.0,160.0,40.0,280.0,90.0,11010.0
"High Park-Swansea",87.0,"N/A",3435.0,735.0,610.0,515.0,320.0,355.0,65.0,120.0,60.0,175.0,180.0,95.0,200.0,17860.0
"High Park North",88.0,"N/A",4805.0,835.0,820.0,565.0,220.0,575.0,230.0,125.0,365.0,95.0,595.0,160.0,215.0,16190.0
"Runnymede-Bloor West Village",89.0,"N/A",1790.0,525.0,270.0,195.0,120.0,110.0,65.0,25.0,70.0,90.0,55.0,75.0,195.0,7830.0
"Junction Area",90.0,"N/A",4010.0,750.0,460.0,600.0,625.0,525.0,345.0,35.0,35.0,65.0,95.0,235.0,255.0,9620.0
"Weston-Pellam Park",91.0,"N/A",10380.0,335.0,1150.0,5440.0,505.0,1350.0,730.0,155.0,95.0,45.0,55.0,305.0,225.0,7525.0
"Corso Italia-Davenport",92.0,"N/A",3880.0,350.0,305.0,855.0,525.0,1390.0,190.0,50.0,50.0,0.0,0.0,65.0,90.0,9680.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",11815.0,2825.0,1850.0,2070.0,955.0,1425.0,930.0,310.0,125.0,280.0,325.0,380.0,340.0,22540.0
"Wychwood",94.0,"N/A",3640.0,750.0,265.0,755.0,445.0,465.0,260.0,40.0,50.0,135.0,210.0,35.0,230.0,9150.0
"Annex",95.0,"N/A",6010.0,1660.0,820.0,785.0,325.0,405.0,170.0,240.0,365.0,335.0,465.0,120.0,315.0,21410.0
"Casa Loma",96.0,"N/A",1795.0,360.0,320.0,225.0,255.0,190.0,20.0,15.0,45.0,70.0,115.0,40.0,145.0,8615.0
"Yonge-St.Clair",97.0,"N/A",1675.0,410.0,310.0,145.0,125.0,110.0,25.0,100.0,200.0,85.0,90.0,35.0,40.0,9850.0
"Rosedale-Moore Park",98.0,"N/A",2955.0,835.0,585.0,265.0,290.0,210.0,30.0,130.0,140.0,100.0,240.0,50.0,80.0,17205.0
"Mount Pleasant East",99.0,"N/A",2495.0,720.0,365.0,280.0,205.0,135.0,55.0,135.0,110.0,145.0,165.0,40.0,135.0,13480.0
"Yonge-Eglinton",100.0,"N/A",1940.0,515.0,195.0,165.0,250.0,195.0,145.0,40.0,75.0,70.0,135.0,65.0,85.0,8620.0
"Forest Hill South",101.0,"N/A",1320.0,390.0,245.0,75.0,285.0,105.0,45.0,0.0,10.0,70.0,45.0,15.0,35.0,9260.0
"Forest Hill North",102.0,"N/A",3080.0,275.0,150.0,355.0,1280.0,395.0,125.0,130.0,60.0,60.0,90.0,20.0,140.0,9255.0
"Lawrence Park South",103.0,"N/A",1900.0,580.0,210.0,120.0,260.0,115.0,110.0,20.0,80.0,145.0,170.0,0.0,85.0,13160.0
"Mount Pleasant West",104.0,"N/A",8890.0,1410.0,1350.0,1270.0,1005.0,890.0,105.0,390.0,835.0,375.0,770.0,220.0,275.0,19125.0
"Lawrence Park North",105.0,"N/A",2270.0,830.0,405.0,160.0,175.0,55.0,75.0,0.0,75.0,60.0,235.0,0.0,180.0,12235.0
"Humewood-Cedarvale",106.0,"N/A",4050.0,330.0,275.0,835.0,1405.0,505.0,75.0,65.0,40.0,95.0,145.0,45.0,225.0,9980.0
"Oakwood Village",107.0,"N/A",9105.0,740.0,615.0,2690.0,2155.0,1700.0,160.0,65.0,85.0,155.0,205.0,175.0,360.0,11765.0
"Briar Hill-Belgravia",108.0,"N/A",6490.0,460.0,485.0,1540.0,2535.0,770.0,150.0,50.0,110.0,35.0,175.0,70.0,105.0,7810.0
"Caledonia-Fairbank",109.0,"N/A",3685.0,105.0,265.0,710.0,885.0,990.0,250.0,0.0,40.0,50.0,0.0,190.0,175.0,6185.0
"Keelesdale-Eglinton West",110.0,"N/A",4850.0,160.0,770.0,1425.0,730.0,860.0,560.0,0.0,0.0,25.0,0.0,135.0,150.0,5700.0
"Rockcliffe-Smythe",111.0,"N/A",10275.0,655.0,1005.0,2650.0,665.0,2580.0,1545.0,35.0,35.0,75.0,165.0,440.0,425.0,11975.0
"Beechborough-Greenbrook",112.0,"N/A",3475.0,35.0,615.0,1780.0,220.0,445.0,130.0,20.0,15.0,0.0,30.0,100.0,80.0,2975.0
"Weston",113.0,"N/A",4965.0,175.0,445.0,1610.0,230.0,1005.0,1020.0,90.0,0.0,0.0,50.0,100.0,205.0,7030.0
"Lambton Baby Point",114.0,"N/A",1720.0,140.0,90.0,1025.0,25.0,230.0,35.0,10.0,40.0,0.0,0.0,25.0,80.0,6110.0
"Mount Dennis",115.0,"N/A",8270.0,310.0,660.0,3570.0,700.0,1575.0,405.0,20.0,75.0,0.0,210.0,425.0,315.0,4585.0
"Steeles",116.0,"N/A",22050.0,17420.0,1820.0,560.0,715.0,60.0,255.0,340.0,145.0,85.0,100.0,45.0,495.0,2655.0
"L'Amoreaux",117.0,"N/A",34310.0,16480.0,8315.0,3290.0,1625.0,265.0,465.0,830.0,1030.0,120.0,365.0,555.0,965.0,10275.0
"Tam O'Shanter-Sullivan",118.0,"N/A",19640.0,9450.0,4795.0,1350.0,1350.0,300.0,220.0,455.0,745.0,90.0,185.0,220.0,485.0,7380.0
"Wexford/Maryvale",119.0,"N/A",12805.0,1550.0,3640.0,1500.0,3335.0,500.0,165.0,625.0,355.0,90.0,275.0,470.0,295.0,13920.0
"Clairlea-Birchmount",120.0,"N/A",13390.0,2010.0,4730.0,2145.0,2640.0,300.0,280.0,185.0,270.0,70.0,50.0,310.0,400.0,10720.0
"Oakridge",121.0,"N/A",9125.0,760.0,4325.0,2085.0,900.0,170.0,235.0,145.0,250.0,40.0,0.0,45.0,165.0,4150.0
"Birchcliffe-Cliffside",122.0,"N/A",4430.0,1125.0,1080.0,680.0,600.0,235.0,75.0,95.0,65.0,110.0,55.0,140.0,170.0,16870.0
"Cliffcrest",123.0,"N/A",5545.0,830.0,2040.0,695.0,645.0,215.0,75.0,145.0,170.0,85.0,45.0,260.0,335.0,9960.0
"Kennedy Park",124.0,"N/A",11185.0,1255.0,3855.0,2245.0,2185.0,180.0,475.0,70.0,255.0,30.0,40.0,210.0,385.0,5795.0
"Ionview",125.0,"N/A",9115.0,945.0,2935.0,1635.0,2220.0,225.0,255.0,100.0,225.0,50.0,20.0,330.0,170.0,3955.0
"Dorset Park",126.0,"N/A",17820.0,2685.0,7265.0,2125.0,2490.0,470.0,460.0,790.0,400.0,70.0,40.0,430.0,595.0,6130.0
"Bendale",127.0,"N/A",18235.0,4135.0,7160.0,1385.0,2540.0,530.0,375.0,285.0,710.0,190.0,55.0,405.0,470.0,8880.0
"Agincourt South-Malvern West",128.0,"N/A",17785.0,10480.0,3630.0,1275.0,1035.0,150.0,215.0,170.0,40.0,100.0,80.0,165.0,455.0,4015.0
"Agincourt North",129.0,"N/A",27015.0,16640.0,5785.0,1210.0,1610.0,105.0,495.0,260.0,210.0,25.0,100.0,225.0,350.0,2910.0
"Milliken",130.0,"N/A",25355.0,18045.0,3765.0,840.0,1280.0,50.0,405.0,170.0,30.0,50.0,40.0,185.0,495.0,1315.0
"Rouge",131.0,"N/A",36175.0,2015.0,17805.0,6435.0,4675.0,880.0,565.0,335.0,415.0,50.0,140.0,1685.0,1180.0,9390.0
"Malvern",132.0,"N/A",39340.0,3400.0,18225.0,8365.0,4685.0,450.0,790.0,310.0,240.0,35.0,105.0,1805.0,935.0,5660.0
"Centennial Scarborough",133.0,"N/A",4950.0,560.0,1770.0,665.0,860.0,95.0,230.0,85.0,140.0,25.0,35.0,225.0,260.0,8115.0
"Highland Creek",134.0,"N/A",9185.0,940.0,4310.0,1370.0,920.0,210.0,275.0,0.0,305.0,20.0,65.0,430.0,320.0,3695.0
"Morningside",135.0,"N/A",12535.0,690.0,5125.0,2920.0,2020.0,210.0,170.0,70.0,360.0,35.0,30.0,595.0,305.0,4800.0
"West Hill",136.0,"N/A",15835.0,820.0,4470.0,5430.0,2100.0,420.0,230.0,180.0,685.0,100.0,70.0,855.0,475.0,10430.0
"Woburn",137.0,"N/A",38715.0,4105.0,20985.0,5170.0,3785.0,1070.0,365.0,220.0,1335.0,100.0,105.0,985.0,495.0,14285.0
"Eglinton East",138.0,"N/A",16160.0,975.0,6675.0,3770.0,2310.0,410.0,345.0,185.0,420.0,95.0,30.0,650.0,290.0,6360.0
"Scarborough Village",139.0,"N/A",11455.0,415.0,5115.0,2855.0,1005.0,375.0,465.0,110.0,400.0,20.0,65.0,350.0,285.0,4835.0
"Guildwood",140.0,"N/A",2370.0,170.0,390.0,480.0,590.0,145.0,125.0,0.0,70.0,45.0,30.0,180.0,120.0,7240.0
